,close,high,low,open,volume
2019-01-02 09:35:00+00:00,66.4,66.51,66.4,66.51,42
2019-01-02 09:35:10+00:00,66.4,66.45,66.4,66.45,7
2019-01-02 09:35:20+00:00,66.4,66.4,66.4,66.4,0
2019-01-02 09:35:30+00:00,66.45,66.48,66.41,66.47,22
2019-01-02 09:35:40+00:00,66.45,66.52,66.45,66.48,3
2019-01-02 09:35:50+00:00,66.52,66.53,66.48,66.48,5
2019-01-02 09:36:00+00:00,66.53,66.53,66.53,66.53,3
2019-01-02 09:36:10+00:00,66.53,66.53,66.53,66.53,0
2019-01-02 09:36:20+00:00,66.44,66.57,66.44,66.56,16
2019-01-02 09:36:30+00:00,66.52,66.52,66.48,66.52,14
2019-01-02 09:36:40+00:00,66.52,66.52,66.52,66.52,0
2019-01-02 09:36:50+00:00,66.52,66.52,66.52,66.52,0
2019-01-02 09:37:00+00:00,66.52,66.52,66.52,66.52,0
2019-01-02 09:37:10+00:00,66.49,66.49,66.49,66.49,1
2019-01-02 09:37:20+00:00,66.49,66.49,66.49,66.49,0
2019-01-02 09:37:30+00:00,66.45,66.45,66.45,66.45,1
2019-01-02 09:37:40+00:00,66.49,66.49,66.49,66.49,1
2019-01-02 09:37:50+00:00,66.47,66.47,66.47,66.47,1
2019-01-02 09:38:00+00:00,66.45,66.45,66.41,66.45,22
2019-01-02 09:38:10+00:00,66.35,66.41,66.35,66.41,56
2019-01-02 09:38:20+00:00,66.21,66.34,66.19,66.34,20
2019-01-02 09:38:30+00:00,66.15,66.21,66.15,66.16,10
2019-01-02 09:38:40+00:00,66.17,66.17,66.17,66.17,1
2019-01-02 09:38:50+00:00,66.21,66.23,66.14,66.15,25
2019-01-02 09:39:00+00:00,66.15,66.2,66.09,66.2,71
2019-01-02 09:39:10+00:00,66.14,66.17,66.11,66.15,9
2019-01-02 09:39:20+00:00,66.21,66.24,66.12,66.13,27
2019-01-02 09:39:30+00:00,66.21,66.21,66.18,66.18,6
2019-01-02 09:39:40+00:00,66.24,66.24,66.24,66.24,1
2019-01-02 09:39:50+00:00,66.24,66.24,66.24,66.24,0
2019-01-02 09:40:00+00:00,66.15,66.18,66.12,66.18,9
2019-01-02 09:40:10+00:00,66.11,66.14,66.06,66.13,12
2019-01-02 09:40:20+00:00,66.12,66.12,66.09,66.09,2
2019-01-02 09:40:30+00:00,66.07,66.11,66.02,66.1,14
2019-01-02 09:40:40+00:00,66.03,66.07,66.03,66.07,3
2019-01-02 09:40:50+00:00,66.12,66.12,66.0,66.07,115
2019-01-02 09:41:00+00:00,66.19,66.19,66.1,66.13,79
2019-01-02 09:41:10+00:00,66.2,66.22,66.18,66.2,7
2019-01-02 09:41:20+00:00,66.24,66.25,66.23,66.24,11
2019-01-02 09:41:30+00:00,66.24,66.24,66.24,66.24,0
2019-01-02 09:41:40+00:00,66.28,66.28,66.28,66.28,6
2019-01-02 09:41:50+00:00,66.25,66.28,66.25,66.26,15
2019-01-02 09:42:00+00:00,66.25,66.27,66.24,66.27,10
2019-01-02 09:42:10+00:00,66.18,66.24,66.18,66.24,9
2019-01-02 09:42:20+00:00,66.24,66.24,66.2,66.2,11
2019-01-02 09:42:30+00:00,66.15,66.19,66.15,66.19,11
2019-01-02 09:42:40+00:00,66.19,66.21,66.14,66.15,121
2019-01-02 09:42:50+00:00,66.24,66.25,66.2,66.2,14
2019-01-02 09:43:00+00:00,66.31,66.31,66.26,66.26,9
2019-01-02 09:43:10+00:00,66.35,66.35,66.28,66.33,22
2019-01-02 09:43:20+00:00,66.35,66.35,66.35,66.35,1
2019-01-02 09:43:30+00:00,66.35,66.35,66.35,66.35,0
2019-01-02 09:43:40+00:00,66.37,66.37,66.3,66.31,4
2019-01-02 09:43:50+00:00,66.38,66.38,66.37,66.37,2
2019-01-02 09:44:00+00:00,66.3,66.38,66.29,66.38,11
2019-01-02 09:44:10+00:00,66.3,66.35,66.27,66.3,24
